timestamp,detection_confidence,estimated_distance_cm,flight_time,battery,acc_x,acc_y,acc_z,pitch,roll,yaw_attitude,altitude_tof,vel_x,vel_y,vel_z,rc_lr,rc_fb,rc_ud,rc_yaw
2025-08-07T14:22:46.708245,0.8457805514335632,65.88235294117646,14,39,-7.0,17.0,-1005.0,0,0,169,165,0,0,0,0,-9,-29,-11
2025-08-07T14:22:46.737252,0.8744539618492126,66.86567164179104,14,39,-7.0,17.0,-1005.0,0,0,169,165,0,0,0,0,-9,-28,-10
2025-08-07T14:22:46.775489,0.8757439851760864,65.11627906976744,14,39,-7.0,17.0,-1005.0,0,0,169,165,0,0,0,0,-9,-27,-7
2025-08-07T14:22:46.797177,0.9045782089233398,65.49707602339181,14,39,-7.0,17.0,-1005.0,0,0,169,165,0,0,0,0,-10,-28,-8
2025-08-07T14:22:46.824268,0.8874146342277527,66.07669616519173,14,39,-13.0,7.0,-1006.0,0,0,168,164,0,0,0,0,-10,-28,-7
2025-08-07T14:22:46.843744,0.8874146342277527,66.07669616519173,14,39,-13.0,7.0,-1006.0,0,0,168,164,0,0,0,0,-10,-28,-8
2025-08-07T14:22:46.872125,0.8785226941108704,65.3061224489796,14,39,-13.0,7.0,-1006.0,0,0,168,164,0,0,0,0,-10,-27,0
2025-08-07T14:22:46.889123,0.8785226941108704,65.3061224489796,14,39,-13.0,7.0,-1006.0,0,0,168,164,0,0,0,0,-10,-27,0
2025-08-07T14:22:46.907985,0.8785226941108704,65.3061224489796,14,39,14.0,3.0,-990.0,0,0,168,163,0,0,1,0,-10,-27,0
2025-08-07T14:22:46.941002,0.5970550775527954,62.56983240223464,14,39,14.0,3.0,-990.0,0,0,168,163,0,0,1,0,-10,-27,0
2025-08-07T14:22:46.979226,0.709786057472229,63.81766381766382,14,39,14.0,3.0,-990.0,0,0,168,163,0,0,1,0,-10,-27,0
